,match_id,times,gold_t_0,gold_t_1,gold_t_2,gold_t_3,gold_t_4,gold_t_128,gold_t_129,gold_t_130,gold_t_131,gold_t_132
41,41,900,4214,5305,5645,5489,2493,4621,2381,4740,5703,6623
42,42,900,2826,4030,6728,2163,5907,2774,5444,2500,3918,2175
43,43,900,4617,5082,2389,3605,1796,4384,1960,2714,2576,8346
44,44,900,3291,3761,3821,6769,3925,2206,5325,2041,5772,4852
45,45,900,2834,3380,2989,2550,4105,5637,4198,3863,4162,4907
46,46,900,3583,1737,5599,3518,6373,4138,5145,1822,3940,3148
47,47,900,5407,5353,7167,4330,2835,2326,3801,5248,3835,3219
48,48,900,6596,2326,4641,4227,2727,3372,6124,4173,4840,3925
49,49,900,5939,2924,6438,4486,4611,2095,5537,1942,5134,3957
50,50,900,4775,2266,2030,3642,7320,4396,3221,4183,6060,2955
51,51,900,5861,2588,5558,3451,4072,4382,3140,4299,4468,4849
52,52,900,2559,4720,3151,5643,4719,2218,3609,4117,3435,3848
53,53,900,3710,2515,3112,2373,4100,6234,4157,5770,5527,3200
54,54,900,4798,3999,3704,2048,2029,5041,4732,3530,4313,3754
55,55,900,3661,6476,3768,6317,4904,5390,4056,4405,6354,3483
56,56,900,2381,2834,3462,4809,2453,8976,3676,3123,2855,5430
57,57,900,3183,4403,5063,3695,2008,5189,4496,5981,4342,5743
58,58,900,2283,2686,4580,5640,4000,2753,2411,3116,5977,6377
59,59,900,5332,4798,2464,3535,4343,7229,2014,3177,2485,4291
60,60,900,6024,4911,2577,2330,3822,2076,3841,5853,4354,3152
61,61,900,3336,5148,4633,5588,5052,3580,4205,3297,6941,5659
62,62,900,3919,5408,2814,4399,6428,3409,3835,2456,3718,3060
63,63,900,4975,3609,6346,5746,2539,4958,5043,4781,4103,5329
64,64,900,2225,3107,6905,2420,5634,4783,3235,5839,2423,5268
65,65,900,2643,4029,2743,5620,5944,7205,4095,5112,4784,2769
66,66,900,4941,2254,5223,5280,2981,4149,5913,3712,3155,3635
67,67,900,5982,2194,6569,3270,4410,4559,5879,3887,4439,3382
68,68,900,4311,5360,5894,4335,3748,2099,3814,5425,3676,2860
69,69,900,6330,4780,3922,4963,3272,4074,6426,3613,4179,2603
70,70,900,6495,3669,2636,5105,5422,3040,4290,7358,3170,2261
71,71,900,4076,3992,5070,3477,6763,4018,6051,3729,4609,3678
72,72,900,4337,2733,7166,1863,3951,4300,5240,3974,5507,5024
73,73,900,1948,5181,5293,1734,5394,3939,4303,6708,5595,9994
74,74,900,4798,5030,2519,8289,2760,4923,6081,2682,3513,3056
75,75,900,2652,4255,5375,5130,2720,2564,5408,3424,3393,3330
76,76,900,4467,3883,4227,3689,4263,4811,5754,4425,6024,2785
77,77,900,4010,2447,4660,4647,2409,3461,6219,4531,3411,4006
78,78,900,4227,3731,4401,5219,4007,3791,6932,2994,3723,2485
79,79,900,4545,4058,4317,3764,5930,3182,4952,4310,7837,2814
80,80,900,5505,2492,4294,5570,3003,3561,4834,3121,4302,5464
81,81,900,4650,4642,5157,4279,4805,3638,3686,4874,4122,3263
82,82,900,6740,2511,2864,4982,5847,3017,5470,3161,6438,3021
83,83,900,3606,5928,2509,4358,4502,3043,12464,3746,3700,4520
84,84,900,5298,5643,2858,3929,5077,4678,3144,7305,5440,7684
85,85,900,4228,3951,5462,2013,3553,3596,3704,6811,6240,4418
86,86,900,5180,6785,7121,5708,6973,2696,3596,4861,3033,3513
87,87,900,2224,5038,3544,3265,3742,4793,5157,2392,2473,4049
88,88,900,4030,3956,3273,3827,3490,2143,4927,5182,3027,4142
89,89,900,3729,5103,3057,5511,3815,2235,5468,1846,3268,5215
90,90,900,5590,5252,4130,4839,2494,4223,4880,4075,3900,5664
91,91,900,3595,4137,3494,3799,3588,5211,4432,2612,4032,3295
92,92,900,3310,5905,3794,5674,5795,5868,5311,5273,4050,2739
93,93,900,4179,3592,4906,5780,2559,4856,3196,3089,3340,6163
94,94,900,5024,4694,3410,2508,8045,5754,3851,4030,5384,3528
95,95,900,4940,6490,2829,2823,4462,3397,6877,7028,5110,7692
96,96,900,4719,4025,5327,7693,3000,3147,5267,5770,4491,2398
97,97,900,4202,5270,5011,4648,4248,1795,5056,2992,2061,2977
98,98,900,2445,4483,2491,6004,4762,4571,5239,2588,4404,4341
99,99,900,2105,4930,2633,7454,5059,2744,3931,5018,4828,2553
100,100,900,3810,6225,4989,3018,4455,4297,5038,2617,7099,3178
101,101,900,3534,4112,2873,5214,4126,2230,4819,5422,3284,4658
102,102,900,3175,5732,3283,4230,4897,5350,2313,4426,5229,4341
103,103,900,2294,5431,3549,5992,3504,5395,3606,5440,4283,4373
104,104,900,4423,4267,5485,4387,4153,6946,3651,6855,5162,3006
105,105,900,7691,3066,2822,5672,4174,3695,4718,2175,2396,5172
106,106,900,2973,6057,2178,3169,4755,2858,3405,3441,3533,2915
107,107,900,5113,4166,8873,7562,3905,4546,6110,1839,2025,3392
108,108,900,6884,5578,4506,3947,3162,3177,6419,6109,4868,4212
109,109,900,3140,7664,2288,14183,4458,4340,4018,2981,2364,6062
110,110,900,2960,2666,7543,3195,4741,3631,5617,2748,3689,7686
111,111,900,3711,4354,5032,3106,3321,2802,5481,5011,2754,6780
112,112,900,3077,1862,6238,6202,5573,6125,4533,1583,7396,2932
113,113,900,3535,1864,2430,6226,2066,4864,2578,5286,3247,2229
114,114,900,3691,3902,2684,4553,5712,3354,4508,3234,5683,5143
115,115,900,2915,3058,6464,2369,6269,6295,2417,4870,2790,2591
116,116,900,4416,2528,2966,4760,3911,1914,4793,5354,3822,2740
117,117,900,2693,4993,5653,6933,2060,5160,5471,2815,3205,2724
118,118,900,5780,2776,2842,3468,6602,5965,2893,5493,5380,2581
119,119,900,2774,7305,3315,5686,2494,4925,4264,4679,5711,5988
120,120,900,2753,9126,2517,5061,3975,7192,3524,6826,6521,2705
121,121,900,5040,3709,5980,3455,2048,3408,6371,3415,2062,6903
122,122,900,2184,3674,4995,3967,3994,3813,4450,2092,6112,3944
123,123,900,4242,2828,4973,4028,6252,2031,4788,5550,2017,5327
124,124,900,3807,5583,2729,5525,4539,2684,4183,3543,4492,2688
125,125,900,4048,2844,5369,5538,3492,4907,2076,2267,3685,6066
126,126,900,5105,4233,4538,2673,7095,4740,4077,5744,3323,6677
127,127,900,5349,4166,3282,3496,4276,4294,5150,3838,2701,4309
128,128,900,5741,4467,5359,4888,5209,5104,2966,4770,3582,5622
129,129,900,3849,4339,2352,4409,3221,5751,2732,5203,4276,4233
130,130,900,6026,3013,3442,3185,4124,3094,2973,2479,3564,4006
131,131,900,4637,2490,4520,4083,6221,4226,2950,6568,3440,3530
132,132,900,7567,8044,4156,5432,6473,3500,3578,5645,5212,3845
133,133,900,3572,3621,3004,4732,7202,4247,2126,5863,4112,4373
134,134,900,5411,4196,4607,4575,4348,5841,5976,3243,4757,3002
135,135,900,4101,3156,4942,3367,5216,4461,3325,3662,4445,6182
136,136,900,3302,4684,8305,6671,4434,4379,3897,3886,3880,2936
137,137,900,5224,5080,4793,4981,6471,4478,3194,4463,3640,7358
138,138,900,5170,3681,3617,5592,2998,5147,2138,4463,6415,2646
139,139,900,6705,7405,2442,4948,4569,2514,2270,3393,4814,3725
140,140,900,7367,3481,5817,3275,3492,1990,5586,3204,5975,4053
141,141,900,4831,1982,2872,5087,4749,3434,6442,6629,7726,3107
142,142,900,3624,4076,3029,2746,3529,3425,4041,5900,3276,3122
143,143,900,9461,6684,3518,4224,2952,6635,4661,4286,3896,3428
144,144,900,2351,6268,2465,3361,3928,5562,2776,2966,5080,1935
145,145,900,2453,2160,5027,2437,6132,2247,3359,3152,2848,5839
146,146,900,5988,4679,4313,5855,4023,5400,3367,4208,4597,4603
147,147,900,5213,2383,5651,2091,4567,4254,3989,3429,5780,2967
148,148,900,5194,3441,5025,2471,4138,4238,5588,5619,4058,2607
149,149,900,2722,3814,3825,6328,6044,2990,4311,4809,2995,3390
150,150,900,4578,5661,2519,10022,2387,5024,3183,4309,5244,4397
151,151,900,5833,4056,2922,3072,3764,5417,4959,4337,3131,6488
152,152,900,6441,3861,2917,6523,2562,3710,5477,3512,4480,4583
153,153,900,4634,2953,2880,4175,6093,2850,3888,5751,5124,8749
154,154,900,6395,7284,3376,3040,3540,2861,2719,5074,5871,3522
155,155,900,3149,3690,3504,4134,5306,5138,3377,5182,2901,3414
156,156,900,2046,3987,2394,4618,5525,4984,3553,4903,3815,2682
157,157,900,5553,2866,3837,5045,3119,4922,7782,3550,3672,5549
158,158,900,6695,6686,2696,3385,3343,7035,4952,1888,5047,2779
159,159,900,3729,2778,5937,6929,3685,4788,2441,3807,4538,3876
160,160,900,5274,6664,6712,3172,2886,3387,3556,5986,6454,6463
161,161,900,4808,3183,2375,4240,5394,2624,3220,4626,2749,8674
162,162,900,3778,2940,6280,4708,3548,3073,5260,4056,6850,2943
163,163,900,7018,4326,9203,2632,2570,5561,4671,4134,3832,2278
164,164,900,4149,3764,4622,3230,4813,6316,3781,6452,4639,3621
165,165,900,7375,3790,3561,3572,3072,4848,4029,6447,4924,3288
166,166,900,4780,4609,3437,3997,4875,6847,2332,4843,3774,4829
167,167,900,3060,2651,5999,5576,2455,4428,2795,7118,1798,5806
168,168,900,4075,4652,5016,3816,5101,4104,3742,2555,5616,6559
169,169,900,3486,4044,4109,6385,7795,3277,3284,5420,3833,4619
170,170,900,3754,4681,2116,4496,6354,5442,4201,3572,4610,6332
171,171,900,6137,4761,5415,2835,4299,5085,4217,4245,4411,3580
172,172,900,3355,4148,2465,6246,6365,3350,2624,2251,5218,2947
173,173,900,4151,3648,4969,5509,3050,3141,4337,5816,3537,3334
174,174,900,8776,3082,3932,4908,3791,3151,4395,3741,4520,2960
175,175,900,2787,5414,3081,3162,5499,4405,3145,6075,6320,4583
176,176,900,3269,3843,3089,4154,2909,4087,4718,5285,4369,5101
177,177,900,3095,6362,6867,2723,7607,5544,2953,4954,5529,3405
178,178,900,4056,4806,5577,4370,4084,4408,6049,7352,5504,4078
179,179,900,4025,4082,2437,3325,4705,3921,3085,3809,5215,6894
180,180,900,4340,3080,4964,4027,4381,3679,4210,3462,3538,7431
181,181,900,7632,7354,5341,2202,3560,4994,5239,4243,4803,3348
182,182,900,6850,3013,7006,2848,3644,2328,2343,6085,5743,2470
183,183,900,3869,7584,6114,2198,2402,5758,3006,3988,3578,4255
184,184,900,7100,3501,3749,4876,4270,6635,3937,3272,8552,6996
185,185,900,4938,5346,8651,5340,4050,5809,2967,4189,3584,6271
186,186,900,6240,4705,5394,2100,2788,2891,6245,2792,6166,3890
187,187,900,7180,4166,10187,4669,3454,1754,2282,5730,4542,2106
188,188,900,5888,4083,3794,9659,5801,3473,4517,5708,3209,2175
189,189,900,5996,5336,2156,5219,1834,6185,3451,3974,7915,3886
190,190,900,4881,3908,8225,3478,4445,7677,5673,2577,2814,5131
191,191,900,4046,3108,4495,6834,6185,5163,5246,5832,5484,2559
192,192,900,4173,4862,4431,3598,5830,7023,3296,4057,6158,3134
193,193,900,6167,2739,2439,4623,6655,5716,3434,7207,2688,7690
194,194,900,5383,6742,4717,2251,4283,4469,3239,5414,3274,5409
195,195,900,5854,5183,3543,4517,6260,3485,6680,2557,6754,5785
196,196,900,4030,3130,6479,5969,6024,2262,6265,3855,5726,3001
197,197,900,4581,4984,3300,3197,3692,2713,5056,5474,6653,3206
198,198,900,5666,3530,3925,2499,5536,5655,2518,3675,3999,4053
199,199,900,5762,3951,5460,5539,4951,2790,1500,4648,4439,2096
200,200,900,5168,3505,4068,3008,2747,5311,5856,1670,3530,3196
201,201,900,3574,8067,2083,4354,2414,6526,2906,5604,6522,3371
202,202,900,5163,4828,5470,3920,6019,3721,2033,3905,3132,7671
203,203,900,7042,1824,4235,2031,4599,2472,4873,3528,4076,5212
204,204,900,7293,5969,6052,2791,3881,4229,3108,3042,5934,4927
205,205,900,3232,4248,4829,4706,4235,4095,5549,2542,5447,3970
206,206,900,2238,4986,2687,6000,13019,4379,5575,5998,4034,4174
207,207,900,3626,4379,3880,2359,5029,3059,4519,6909,6005,2972
208,208,900,3508,7171,2459,4304,2524,5549,3780,2500,3501,2563
209,209,900,3158,6298,4084,6806,4350,2521,8214,5694,2480,3713
210,210,900,5089,2666,7544,2069,4301,2923,5991,3417,2233,5405
211,211,900,4785,4590,4455,2602,5890,4583,5960,5324,2238,6214
212,212,900,3279,2784,5037,3568,7465,4002,3853,3236,5296,3014
213,213,900,2882,5339,2804,5518,3119,6219,3283,5545,4519,2118
214,214,900,4180,5945,2633,2378,6293,5029,5117,2834,2534,3079
215,215,900,4348,2798,7583,2446,5312,5454,4270,6402,3629,3358
216,216,900,3199,3939,7746,3864,3260,3513,2892,6418,6133,2469
217,217,900,3684,6615,3593,4098,4380,5746,2867,3703,4326,4488
218,218,900,4877,3114,2377,5987,6726,2786,4170,3522,5084,4513
219,219,900,5702,2769,5527,3748,5640,4746,4384,2767,4239,2683
220,220,900,3309,3099,2188,3814,5129,3617,6675,5996,8478,4258
221,221,900,3268,3962,2141,2912,3332,2424,4056,2130,4179,2577
222,222,900,4579,3611,4682,3473,4038,4578,4772,2492,4238,3882
223,223,900,3816,3024,2760,4468,6321,5603,5986,6358,2727,5706
224,224,900,5648,3358,6069,7161,3266,5957,4655,4173,4126,3962
225,225,900,3785,1868,2173,3171,4705,3576,6285,2848,2811,3939
226,226,900,6907,4816,4400,5058,5439,4288,3766,2899,6611,2762
227,227,900,6521,3156,3125,6273,4881,4324,4087,3667,6342,5863
228,228,900,5051,5471,4394,3029,2928,5149,2795,4950,3497,3359
229,229,900,2240,6510,5065,5250,3937,6420,5274,2583,5266,5739
230,230,900,3295,5546,3439,4511,4703,3785,2580,4762,5474,5426
231,231,900,5273,3356,4217,1544,5242,5403,4956,5973,6306,2308
232,232,900,2697,4392,6394,6055,3512,3817,4258,3664,5369,5450
233,233,900,3229,7068,5727,3129,2466,7186,4666,4086,2506,3929
234,234,900,6300,3218,4911,3454,5724,4368,5648,6045,4802,5092
235,235,900,2908,3885,4094,2965,4783,4629,2880,4501,4319,4301
236,236,900,4936,4791,5051,3040,2378,4498,2451,2602,4532,4178
237,237,900,3976,3175,2356,4606,2798,3577,4057,4674,6142,5184
238,238,900,2543,6420,4037,4417,3948,4272,5179,4514,3423,3635
239,239,900,4174,3403,4633,5568,4435,3965,4037,5346,9116,3870
240,240,900,3686,6413,3220,7488,3522,4967,3615,2310,5185,3826
241,241,900,4982,3751,4420,3509,3187,5149,6447,3573,5505,2756
242,242,900,5295,3468,6949,3766,2443,3425,7490,5420,2687,5161
243,243,900,5277,6656,5060,3429,5981,3784,6955,4411,4439,2955
244,244,900,4048,5521,2526,4905,5025,4336,2782,6542,2823,3393
245,245,900,3981,2548,2097,4885,2490,5428,5595,7494,4792,3724
246,246,900,3054,2182,5281,1754,6646,2941,2934,7067,5577,4407
247,247,900,4449,3107,2326,5427,5896,4647,3911,2523,6327,4985
248,248,900,5315,3899,6078,3366,3880,5385,5184,4741,3391,4018
249,249,900,5518,4848,3781,3492,7556,4386,4641,4739,3149,5071
250,250,900,6246,3078,3508,6736,5451,6061,2441,3429,5473,2863
251,251,900,3052,4592,2041,5480,3274,3726,4281,1943,2230,3179
252,252,900,2838,2720,3590,3026,4068,2751,4419,3840,2566,9362
253,253,900,1983,4120,5844,4946,2890,2349,3365,3461,4954,4170
254,254,900,5606,8771,2289,2379,2109,2418,4228,6957,5100,2720
255,255,900,2846,4291,3205,7717,3986,3605,2907,4568,3630,5235
256,256,900,6865,6468,4521,4614,4275,4498,3800,4259,5629,3690
257,257,900,5381,5126,4537,4841,9301,3709,3820,4515,4503,2531
258,258,900,3377,3784,3836,2865,5833,5773,3270,5265,2806,5372
259,259,900,5736,5293,6037,2448,5583,3455,3917,2588,2858,2306
260,260,900,3209,5588,3424,3523,3007,5583,6420,2354,3234,2297
261,261,900,2247,2930,2350,5135,3617,5648,3816,6896,2706,3799
262,262,900,2760,3309,5321,5512,2623,5549,2685,2236,4803,5408
263,263,900,4803,5783,2706,9139,3311,2546,4418,6284,4478,2752
264,264,900,7021,5469,3900,7177,5841,5842,4350,4387,3647,3494
265,265,900,2557,4170,5389,5412,4953,2017,4421,5387,2585,5366
266,266,900,4081,4959,2889,5812,3355,5089,3823,3507,2826,4750
267,267,900,2635,2752,5120,3684,4300,4275,6872,2837,3644,2458
268,268,900,3068,5738,2955,4028,2734,3233,1907,3893,4034,4567
269,269,900,5527,4939,3263,3137,6404,4451,4393,3597,9877,2994
270,270,900,5971,4536,4209,3622,4053,4664,2539,4272,5669,6461
271,271,900,5155,4000,3651,1537,3955,4310,3918,2549,3163,5343
272,272,900,5390,5190,3574,3140,5783,4499,4831,2343,5004,4736
273,273,900,5274,5055,7297,4968,6515,5487,3006,5741,4564,4157
274,274,900,5468,3388,2084,3903,5028,5504,4350,7022,6840,3477
275,275,900,4069,5267,5164,3907,3982,5303,4228,2830,4715,3610
276,276,900,2226,2325,2269,4735,4435,4848,1870,5126,3653,3259
277,277,900,4798,3601,3605,5205,2384,3285,4058,2766,6132,4010
278,278,900,3405,3107,6207,5873,4832,5954,3293,4642,5281,4871
279,279,900,5026,3842,4059,6820,3692,3419,4989,5978,5118,5925
280,280,900,4138,3879,3581,2554,2328,4606,4619,5745,2726,3560
281,281,900,6077,4457,1879,2546,2982,4918,6290,5544,3418,5117
282,282,900,4493,6589,6035,3007,4859,2932,2950,5021,5492,6085
283,283,900,9330,2449,4095,2863,4287,3690,4187,2910,2927,3766
284,284,900,4670,3806,3201,4632,3802,4266,2386,3808,9708,5692
285,285,900,4901,4807,2232,4611,4558,6077,3760,6683,4999,2819
286,286,900,5477,2215,3326,5672,2034,8843,3556,2547,1707,7708
287,287,900,8645,3223,4633,6741,5631,3054,3855,3866,3688,3869
288,288,900,5381,6187,6374,4036,3678,6029,3059,4948,2162,6630
289,289,900,5570,4708,2245,4093,2245,3871,5361,6523,6104,2189
290,290,900,3468,4981,4766,3896,3120,3359,6691,4610,6077,2021
291,291,900,3473,3401,2360,3750,3843,3117,4312,3582,2023,5182
292,292,900,5746,1712,6660,1757,4992,2119,5365,6020,5814,6954
293,293,900,3647,4208,6938,2612,7337,3982,4632,3334,3190,3297
294,294,900,4326,6850,3491,3596,4126,3973,3252,4845,3228,3366
295,295,900,4641,4203,3131,2488,1932,5464,4757,4371,5277,4793
296,296,900,2158,6381,4037,5816,4489,5284,2728,3622,3992,5033
297,297,900,5287,4719,2767,6316,3334,4535,5512,5959,6260,4806
298,298,900,5262,1723,1773,4662,4512,5334,2894,3931,4153,5854
299,299,900,4546,3611,2885,2938,5280,4961,1539,3873,4902,4845
300,300,900,3881,6573,4793,3369,2761,3286,3581,3588,4058,4267
301,301,900,4046,6207,6659,4356,5015,5619,2982,4250,4199,4002
302,302,900,3606,4750,4858,7591,3552,4762,8217,4195,4540,3048
303,303,900,5550,4433,3534,8463,4671,2772,4998,7186,5922,2473
304,304,900,3212,5949,4667,3435,3236,4792,5304,3336,5768,6350
305,305,900,4241,4492,2824,4613,3083,6308,3151,6337,2906,3324
306,306,900,5216,6334,2386,4825,5519,3913,4403,6309,4664,3700
307,307,900,4621,3912,2256,2057,5558,5085,5278,3884,4159,3706
308,308,900,1772,3869,3229,2606,2843,4002,3590,6569,6538,4583
309,309,900,2846,3143,5584,2969,7462,4690,3696,7283,4884,2794
310,310,900,4732,3400,5972,2428,4946,6361,3066,4000,4261,4868
311,311,900,5057,3823,3825,2652,5030,2443,5266,2349,4794,6492
312,312,900,5062,3287,3789,5163,3270,6435,5378,2335,4828,4173
313,313,900,3803,3263,2571,6727,2892,5680,3682,2902,3369,3143
314,314,900,4349,4725,5223,4745,5393,3700,4863,2925,5587,3766
315,315,900,2103,4211,5764,3534,5056,2773,5530,5937,3505,4669
316,316,900,5877,4818,3224,5397,2522,2493,1904,3542,5210,4902
317,317,900,3509,3907,2755,5208,1984,3676,3147,3012,2765,5419
318,318,900,3345,5566,3809,2437,2860,4647,7515,2417,5293,6438
319,319,900,6047,3962,2830,4421,6132,4213,6635,4194,3317,4847
320,320,900,4611,4448,2694,2904,5600,5495,6740,4111,2317,4621
321,321,900,2916,4683,4471,4805,2843,3974,4130,3541,4785,3307
322,322,900,3940,3471,7215,4624,2195,3789,5911,6238,3802,2916
323,323,900,1811,5270,4842,5244,4428,4554,4634,4480,3650,3864
324,324,900,2707,2294,3748,5039,5747,4222,3532,1663,4521,5573
325,325,900,5784,2566,7151,2618,3030,7135,4990,3570,4293,3281
326,326,900,6036,3729,2861,3982,6357,6255,3730,3443,7655,3415
327,327,900,3363,3829,3714,5222,4463,3197,2256,3931,4274,7925
328,328,900,4159,2502,7175,5310,2839,3865,5818,2698,4779,2614
329,329,900,4768,4423,3961,4521,3763,3121,3900,4896,4291,4726
330,330,900,4112,2935,2992,5057,1934,4465,3916,2479,3347,3979
331,331,900,4238,2989,2504,5425,3193,2752,2063,5287,2898,5115
332,332,900,3725,3295,4481,4095,7002,4120,6211,3941,3810,5122
333,333,900,5431,2548,4646,2442,3810,6606,2966,5267,4200,4715
334,334,900,3214,5851,2763,2919,3623,3390,3454,4024,3441,3511
335,335,900,4528,5191,3972,5541,3144,4008,2761,4404,6902,2825
336,336,900,3132,5004,6252,4654,3651,2442,5136,5900,6861,3825
337,337,900,4759,5663,5030,3640,1838,3377,2900,7061,3901,4828
338,338,900,4003,2647,3425,2310,4707,3074,2927,2320,4103,2922
339,339,900,3279,2688,5071,5763,6556,7299,5600,5535,5838,5920
340,340,900,2187,3937,5332,5523,3477,3443,4806,3082,4893,4664
341,341,900,3681,6735,4689,5015,5640,4466,3570,4253,4946,5700
342,342,900,4859,5351,2181,8328,2176,5517,3142,5465,3031,5214
343,343,900,5601,2306,3370,4921,6436,6079,4605,3150,3496,2159
344,344,900,4666,4353,4583,3898,3621,3282,6251,3258,8084,6474
345,345,900,3928,3653,8336,2104,2428,4838,5048,3018,3967,2927
346,346,900,6538,4627,3422,2310,2835,5822,3657,5656,3604,2360
347,347,900,5553,3873,2893,3748,4853,3868,2569,4989,6746,3765
348,348,900,6311,7354,4572,4111,4826,3060,3551,5508,3816,4941
349,349,900,3968,2629,6052,2688,5905,5080,2699,2788,3156,9388
350,350,900,1888,3809,4344,4698,2235,5091,3363,5228,2683,3919
351,351,900,5980,5203,6579,3179,3805,4836,3557,5788,2401,5028
352,352,900,4326,4879,6876,8018,8296,7631,4320,5142,2011,3184
353,353,900,4484,3327,2464,4526,4644,3751,3455,3425,5334,6560
354,354,900,4180,3330,3487,4371,2419,4053,4754,3739,2921,3691
355,355,900,5268,2987,5251,2684,2157,5944,4940,3357,3656,3476
356,356,900,5139,4115,3149,3750,5516,6812,3486,2906,4521,3380
357,357,900,6016,4468,3610,3909,4595,6160,4986,2781,6758,3063
358,358,900,4059,3773,3281,4152,4520,6617,6565,7139,3441,3453
359,359,900,2680,2094,4097,4953,2544,3723,2920,7674,4550,4248
360,360,900,2470,2078,5607,3173,4566,7827,2385,5564,2601,4287
361,361,900,6195,4186,4799,4584,2894,4859,6270,3649,2072,4692
362,362,900,2477,3515,5113,3969,4087,4961,3956,5036,2494,4447
363,363,900,4055,5221,4943,5225,4161,5845,6068,3554,6355,4331
364,364,900,5039,2247,3101,4595,4294,4250,4213,5448,2096,3815
365,365,900,6591,5326,4000,5319,6351,5013,3652,5599,3777,3867
366,366,900,4364,7168,6798,3258,2874,2401,5037,3625,5219,5774
367,367,900,3649,3846,4152,3800,2126,5718,4421,3777,4864,4877
368,368,900,3780,2154,2377,5236,3048,3948,3667,2744,4782,5511
369,369,900,2291,3813,4042,4762,4787,5497,3220,3007,4184,2582
370,370,900,4701,3774,3942,7595,5434,5213,6256,4884,4095,5008
371,371,900,3989,5090,3192,4166,4275,2985,5224,3431,3411,4385
372,372,900,2167,2478,4355,5674,2757,5663,3181,5083,2606,5324
373,373,900,3968,3338,3404,3508,3847,3304,5036,3896,4429,6309
374,374,900,2987,4686,4409,3364,4693,7099,3558,2508,4585,2587
375,375,900,5579,6915,3609,2728,4793,5441,3516,3238,4143,5458
376,376,900,4774,6031,3169,4481,4980,2546,3279,2476,4653,6461
377,377,900,2373,2767,2848,6011,5703,3149,3408,4322,3061,2530
378,378,900,6946,3563,5244,5761,3099,2372,4222,4853,3807,3691
379,379,900,2877,4889,1673,6400,5933,3710,4609,6501,6964,3796
380,380,900,4703,4164,5515,6857,6020,2968,4022,2238,3416,4248
381,381,900,3716,5347,3526,4879,1670,5753,2670,5141,2745,7723
382,382,900,3968,4483,6034,4533,5828,4912,4859,4423,3230,3341
383,383,900,3548,4217,3634,2243,3219,3542,5113,2212,2234,4445
